,size,Diptera (D),Coleoptera (C),Lepidoptera (L),Hemiptera (H),Ephemeroptera(E),Hymenoptera (HY),Trichoptera (T),Psocodea(PS),Plecoptera (P),Megaloptera (M),Blattodea (B),Mecoptera (ME),Neuroptera(N),Orthoptera(O),Odonata(OD),Dermaptera (DE),Non-insect (*),Unidentifiable,notes,,totals by order,,total total
W2-1.0528.0812,S,,,,,,,,,,,,,,,,,,,,,Diptera,16232,31971
W2-1.0528.0812,M,,,,,,,,,,,,,,,,,,,,,Coleoptera,7816,
W2-1.0528.0812,L,,,,,,,,,,,,,,,,,,,,,Lepidoptera,2125,
W2-1.0528.0812,G,,,,,,,,,,,,,,,,,,,,,Hemiptera,2113,
W2-2.0528.0836,S,,1,,,,,,,,,,,,,,,,,,,Ephemeroptera,957,
W2-3.0528.0824,S,1,,,,,,,,,,,,,,,,,,,,Hymenoptera,1721,
W2-2.0528.0936,G,,,1,,,,,,,,,,,,,,,,,,Trichoptera,637,
W2-2.0528.0936,M,3,,,,,,,,,,,,,,,,,,,,Psocodea,158,
W2-2.0528.0912,M,,,2,,,,,,,,,,,,,,,,,,Plecoptera,15,
W2-2.0528.0912,L,,,1,,,,,,,,,,,,,,,,,,Megaloptera,28,
W2-2.0528.0912,S,3,,,,,,,,,,,,,,,,1,,,,Blattodea,38,
W2-2.0528.0912,G,,,,,,,,,,1,,,,,,,,,,,Mecoptera,4,
W2-3.0528.0924,G,,,1,,,,,,,,,,,,,,,,,,Neuroptera,17,
W2-3.0528.0936,M,1,,,,,,,,,,,,,,,,,,,,Orthoptera,11,
W2-3.0528.0936,L,,1,,,,,,,,,,,,,,,,,,,Odonata,4,
W2-3.0528.0900,S,1,,,,,,,,,,,,,,,,,,,,Dermaptera,1,
W2-3.0528.0900,M,1,,,,,,,,,,,,,,,,,,,,Non-insect,86,
W2-2.0528.0836,S,,1,,,,,,,,,,,,,,,,,,,Unidentifiable,8,
W2-2.0528.0924,S,1,,,,,,,,,,,,,,,,,,,,,,
W2-2.0528.0924,M,1,,,,,,,,,,,,,,,,,,,,,,
W2-2.0528.0848,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0528.0836,M,1,,,,,,,,,,,,,,,,,,,,,,
W2-3.0528.0836,L,,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0528.0836,G,1,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0936,S,9,,,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0936,M,1,,,,,,,,,,,,,,,,1,,,,,,
W2-1.0528.0936,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0912,S,5,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0900,S,,,,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0900,G,1,,,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0924,S,4,,,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0924,M,1,,,,,,,,,,,,,,,,,,,,,,
W2-1.0528.0848,S,,,,,,,,,,,,,,,,,,,,,,,
W2-2.0602.0945,S,2,,,,,,,,,,,,,,,,,,,,,,
W2-2.0602.0945,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-1.0602.0945,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.0845,S,,,,,,,,,,,,,,,,,1,,,,,,
W3-3.0602.0930,S,2,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.0930,M,,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0602.0900,S,3,,,,,,,,,,,,,,,,,,,,,,
W2-1.0602.0900,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0602.0845,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0602.0845,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.0815,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0602.0815,S,,,,,,,,,,,,,,,,,1,,,,,,
W3-3.0602.0900,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.0900,L,2,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.0945,S,6,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.0945,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.1000,S,3,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.1000,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0602.0930,S,8,,,,,,,,,,,,,,,,,,,,,,
W3-2.0602.0930,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0602.0830,M,,2,,,,,,,,,,,,,,,,,,,,,
W3-2.0602.1000,M,,4,,,,,,,,,,,,,,,,,,,,,
W3-2.0602.1000,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0602.0930,S,3,,,,,,,,,,,,,,,,,,,,,,
W2-2.0602.0915,M,1,,,,,,,,,,,,,,,,,,,,,,
W3-3.0602.0915,S,1,,1,,,,,,,,,,,,,,,,,,,,
W3-1.0602.0900,S,,,,,,1,,,,,,,,,,,,,,,,,
W3-1.0602.0900,M,,,1,,,,,,,,,,,,,,,,,,,,
W3-1.0602.0845,M,,,1,,,,,,,,,,,,,,,,,,,,
W3-2.0602.0900,M,,,,,,,,,,,1,,,,,,,,,,,,
W2-2.0602.0930,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-2.0602.0930,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-2.0602.1000,S,1,,,,,,,,,,,,,,,,,,,,,,
W2-2.0602.0945,S,1,,,,,,,,,,,,,,,,,,,,,,
W2-2.0602.0945,L,,,2,,,,,,,,,,,,,,,,,,,,
W3-2.0602.0915,S,6,,,,,,,,,,,,,,,,,,,,,,
W2-2.0602.0945,S,3,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0856,S,3,4,,,,1,,,2,,,,,,,,,,,,,,
Z2-3.0604.0856,M,3,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0856,G,,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0846,S,3,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0846,L,1,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0951,S,3,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0951,M,4,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0951,L,1,,,,,,1,,,,,,,,,,,,,,,,
Z3-1.0604.0946,S,11,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0946,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0921,S,1,1,1,1,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0921,M,2,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0921,L,,,2,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0921,S,8,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0921,M,3,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0926,S,12,1,2,,,2,,,,,,,,,,,,,,,,,
Z2-3.0604.0926,M,2,1,,,,1,,,,,,,,,,,,,,,,,
Z2-3.0604.0926,L,,,2,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0926,G,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0956,S,7,1,2,1,,1,,,,,,,,,,,,,,,,,
Z3-3.0604.0956,M,3,1,2,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0956,G,,2,,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0926,S,6,3,5,,,1,,,,,,,,,,,,,,,,,
Z3-3.0604.0926,M,1,1,1,,,,1,,,,,,,,,,,,,,,,
Z3-3.0604.0926,L,1,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0926,G,1,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0841,S,1,2,,8,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0826,S,,2,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0901,S,3,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0901,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0941,S,9,4,4,,,2,,,,,,,,,,,,,,,,,
Z3-3.0604.0941,M,4,,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0846,S,,4,,1,,1,,,,,,,,,,,,,,,,,
Z2-1.0604.0846,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0816,S,,4,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0851,S,4,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0851,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0851,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0841,S,8,2,1,2,,,,,1,,,,,,,,,,,,,,
Z2-3.0604.0841,M,1,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0841,G,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0941,S,3,2,,1,,,,,1,,,,,,,,,,,,,,
Z2-3.0604.0941,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0831,S,,2,,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0911,S,2,1,,,,1,,,1,,,,,,,,,,,,,,
Z2-3.0604.0911,M,1,,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0901,S,5,2,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0901,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0831,S,,1,,1,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0956,S,8,3,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0956,M,3,1,2,,,,,,,,,,,,,,,,,,,,
Z2-3.0604.0956,G,,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.1001,S,8,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.1001,M,,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.1001,G,,,,,,,,,,1,,,,,,,,,,,,,
Z2-3.0604.1011,S,6,1,,1,,1,,,,,,,,,,,,,,,,,
Z2-3.0604.1011,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0931,S,8,1,2,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0931,M,1,,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0916,S,11,,3,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0916,M,,,1,,,,1,,,,,,,,,,,,,,,,
Z2-1.0604.0916,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0836,S,,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0821,S,,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0911,S,15,1,9,1,,2,,,,,,,,,,,,,,,,,
Z3-2.0604.0911,M,,1,,,,1,,,,,,,,,,,,,,,,,
Z3-3.0604.0856,S,4,2,3,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0856,M,,1,,,,1,,,,,,,,,,,,,,,,,
Z3-3.0604.0856,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.0856,G,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0951,S,3,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0951,L,,,,,,,,,,,,1,,,,,,,,,,,
Z3-1.0604.0916,S,2,1,,,,,,,,,,,,,,,2,,arachnid,,,,
Z3-1.0604.0916,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0916,G,,,,,,,,,,1,,,,,,,,,,,,,
Z2-2.0604.0851,S,1,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0851,M,1,,,,,1,,,,,,,,,,,,,,,,,
Z3-1.0604.0931,S,1,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0931,M,3,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0604.0931,L,1,,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.1001,S,4,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.1001,M,5,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.1001,G,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0821,S,,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0936,S,5,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0936,M,,,2,,,,,,,,,,,,,,,,,,,,
