Trap,Route,Site,Date,DOY,Sunset,Time,After,SQM,Temperature,Wet_Bulb_Temp,Relative_Humidity,Barometric_Pressure,Altitude,Station_Pressure,Heat_Index,Dew_Point,Humidity_Ratio,Density_Altitude,Relative_Air_Density,Air_Flow,Air_Speed,Evaporation_Rate,Wind_Chill,Delta_T,Air_Density
S11,1,1,Jun-11,161,8:21:00pm,8:21:00pm,0,10.18,,,,,,,,,,,,,,,,,
S11,1,1,Jun-11,161,8:21:00pm,8:36:00pm,15,12.09,,,,,,,,,,,,,,,,,
S11,1,1,Jun-11,161,8:21:00pm,8:51:00pm,30,14.99,,,,,,,,,,,,,,,,,
S11,1,1,Jun-11,161,8:21:00pm,9:06:00pm,45,17.62,21.2,17.4,69.7,1002.5,31,1009.6,21.3,15.4,10.98,326,96.9,0,0,0.04,21.1,3.8,1.187
S11,1,1,Jun-11,161,8:21:00pm,9:21:00pm,60,19.11,20.8,17.4,72.2,1002.5,31,1009.6,21,15.6,11.13,314,97,0,0,0.04,20.8,3.4,1.188
S11,1,1,Jun-11,161,8:21:00pm,9:36:00pm,75,19.69,20.6,17.6,74.6,1002.9,28,1009.9,20.8,15.9,11.37,306,97,0,0,0.04,20.6,3,1.189
S11,1,1,Jun-11,161,8:21:00pm,9:51:00pm,90,19.84,21.4,18.4,76,1002.2,34,1009.3,21.8,16.9,12.13,342,96.7,0,0,0.03,21.3,3,1.185
S11,1,1,Jun-11,161,8:21:00pm,10:06:00pm,105,19.82,21.4,18.2,73.7,1002.7,29,1009.8,21.7,16.5,11.77,335,96.8,0,0,0.03,21.3,3.2,1.186
S11,1,1,Jun-11,161,8:21:00pm,10:21:00pm,120,19.88,20.8,17.6,73.2,1002.9,28,1009.9,20.9,15.8,11.28,311,97,0,0,0.04,20.7,3.2,1.188
S11,1,1,Jun-18,168,8:23:00pm,8:23:00pm,0,10.34,25.3,22.6,79.5,1010,25,1010,27.2,21.5,16.22,498,95.3,0,0,0,25.3,2.7,1.167
