Site,Date,DOY,Sunset time,Time,After sunset (min),SQM (mags/arcsec2),Temperature (°C),Wet Bulb Temp (°C),Relative Humidity (%),Barometric Pressure (mb),Altitude (m),Station Pressure (mb),Heat Index (°C),Dew Point (°C),Humidity Ratio (g/kg),Density Altitude (m),Relative Air Density (%),Air Flow (m3/m),Air Speed (km/h),Evaporation Rate (kg/m²/h),Wind Chill (°C),Delta T (°C),Air Density (kg/m3),Notes
W2-3,May 28,147,8:12 PM,8:12 PM,0,9.99,20.1,13.7,49.4,1016,-24,1016,18.9,9.1,7.17,196,98.1,0,0,0.09,20,6.3,1.202,
W2-3,May 28,147,8:12 PM,8:24 PM,12,11.45,20.3,11.9,35.8,1016,-25,1016,18.5,4.7,5.25,193,98.1,0,0,0.11,20.2,8.4,1.202,
W2-3,May 28,147,8:12 PM,8:36 PM,24,13.52,19.9,11.7,36.7,1015.8,-23,1015.8,18.2,4.7,5.26,182,98.2,0,0,0.11,19.9,8.2,-,
W2-3,May 28,147,8:12 PM,8:48 PM,36,15.7,19.2,10.9,34.7,1016,-25,1016,16.9,3.2,4.75,151,98.5,0,0,0.12,19.1,8.3,-,
W2-3,May 28,147,8:12 PM,9:00 PM,48,17.5,18.9,11.2,38.2,1016,-25,1016,16.6,4.3,5.14,142,98.6,0,0,0.12,18.8,7.7,1.208,
W2-3,May 28,147,8:12 PM,9:12 PM,60,18.53,18.4,11.3,41.7,1016.1,-25,1016.1,16.2,5.2,5.46,128,98.7,0,0,0.11,18.4,7.1,1.209,
W2-3,May 28,147,8:12 PM,9:24 PM,72,18.77,18,11.6,46.5,1016.2,-25,1016.2,15.9,6.3,5.91,113,98.9,0,0,0.11,17.9,6.4,1.211,
W2-3,May 28,147,8:12 PM,9:36 PM,84,18.92,18.7,13.2,53.4,1016.4,-27,1016.4,17.2,9.1,7.13,145,98.6,0,0,0.09,18.7,5.5,1.207,
W2-3,May 28,147,8:12 PM,9:48 PM,96,18.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:12 PM,0,9.57,22.7,-,56.2,-,-,-,-,-,-,-,-,-,0,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:24 PM,12,11.19,22.3,-,58.9,-,-,-,-,-,-,-,-,-,0,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:36 PM,24,13.35,19.3,-,43.2,-,-,-,-,-,-,-,-,-,0,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:48 PM,36,15.62,21.2,13.4,40.9,1009.4,-25,1016.4,20.2,7.4,6.35,228,97.8,0,0,0.1,21.1,7.8,1.198,
W2-2,May 28,147,8:12 PM,9:00 PM,48,17.58,20,12.6,42,1009.2,-24,1016.2,18.4,6.7,6.06,185,98.2,0,0,0.1,19.9,7.4,1.203,
W2-2,May 28,147,8:12 PM,9:12 PM,60,18.46,22.1,13.7,38.2,1009.5,-26,1016.5,21.1,7.2,6.28,258,97.5,0,0,0.1,22.1,8.4,1.194,
W2-2,May 28,147,8:12 PM,9:24 PM,72,18.63,19.9,12.7,43,1009.7,-27,1016.6,18.4,6.9,6.16,178,98.2,2,1.3,0.14,19.8,7.2,1.204,
W2-2,May 28,147,8:12 PM,9:36 PM,84,18.93,20.4,13.5,45.8,1009.7,-28,1016.7,19.2,8.3,6.77,199,98.1,0,0,0.09,20.3,6.9,1.201,
W2-2,May 28,147,8:12 PM,9:48 PM,96,18.86,20.8,13.5,43.3,1009.7,-28,1016.7,19.8,7.9,6.59,214,97.9,0,0,0.1,20.8,7.3,1.199,
W2-1,May 28,147,8:12 PM,8:12 PM,0,10.53,18.2,10.6,37.9,1016.6,-29,1016.6,15.7,3.6,4.88,111,1.211,0,0,0.12,18.1,7.6,1.211,
W2-1,May 28,147,8:12 PM,8:24 PM,12,12.21,19.8,12.6,42.7,1016.6,-29,1016.6,18.1,6.8,6.08,174,98.3,0,0,0.1,19.7,7.2,1.204,
W2-1,May 28,147,8:12 PM,8:36 PM,24,14.53,18.5,12.3,48.3,1016.8,-31,1016.8,16.6,7.4,6.36,129,98.7,0,0,0.1,18.5,6.2,1.209,
W2-1,May 28,147,8:12 PM,8:48 PM,36,16.81,17.7,11,43.6,1016.9,-32,1016.9,15.5,5.2,5.44,93,99.1,0,0,0.11,17.6,6.7,1.214,
W2-1,May 28,147,8:12 PM,9:00 PM,48,18.47,17.3,11.2,47.1,1016.9,-31,1016.9,15.5,5.9,5.74,81,99.2,0,0,0.11,17.3,6.1,1.215,
W2-1,May 28,147,8:12 PM,9:12 PM,60,19.33,18.4,12.1,47.2,1016.9,-32,1016.9,16.4,6.9,6.16,122,98.8,0,0,0.1,18.3,6.3,1.21,
W2-1,May 28,147,8:12 PM,9:24 PM,72,19.33,18.1,12.2,50.4,1017.1,-33,1017.1,16.3,7.6,6.46,112,98.9,0,0,0.1,18.1,5.9,1.211,
W2-1,May 28,147,8:12 PM,9:36 PM,84,19.46,17.4,11.5,49.6,1017.1,-34,1017.1,15.5,6.7,6.06,83,99.2,2,1.9,0.16,17.3,5.9,1.215,
W2-1,May 28,147,8:12 PM,9:48 PM,96,19.87,17,11.3,50.7,1017,-33,1017,15.3,6.7,6.07,72,99.3,0,0,0.1,17,5.7,1.216,
W2-2,June 2,152,8:15 PM,8:15 PM,0,9.04,17.7,12.9,58.6,1000.5,48,1007.5,16.3,9.5,7.4,202,98,0,0,0.09,17.6,4.8,1.201,
